index,n,x,tipo,data,dia,mes,ano,hora,y,z,vel1,vel2,k,s,cod,placa,r,t,y,u,i
38,751,1,2019-02-01 00:00:30,2019-02-01,01,02,2019,00:00:30,00,00,60.0,46.0,2,3.4,bdac476c1,KPK4377,0,0,NULL,NULL,NULL
39,752,2,2019-02-01 00:00:40,2019-02-01,01,02,2019,00:00:40,00,00,60.0,55.0,2,3.8,bdac47d12,LQZ8815,0,0,NULL,NULL,NULL
40,752,2,2019-02-01 00:00:53,2019-02-01,01,02,2019,00:00:53,00,00,60.0,52.0,2,4.2,bdac48532,LPO7555,0,0,NULL,NULL,NULL
41,927,2,2019-02-01 00:00:04,2019-02-01,01,02,2019,00:00:04,00,00,80.0,53.0,2,4.8,bdac466a2,,0,0,NULL,NULL,NULL
42,927,2,2019-02-01 00:00:09,2019-02-01,01,02,2019,00:00:09,00,00,80.0,58.0,2,3.8,bdac46a32,,0,0,NULL,NULL,NULL
43,927,2,2019-02-01 00:00:17,2019-02-01,01,02,2019,00:00:17,00,00,80.0,59.0,2,3.3,bdac46f02,,0,0,NULL,NULL,NULL
44,927,2,2019-02-01 00:00:19,2019-02-01,01,02,2019,00:00:19,00,00,80.0,57.0,2,3.8,bdac47012,,0,0,NULL,NULL,NULL
45,926,1,2019-02-01 00:00:23,2019-02-01,01,02,2019,00:00:23,00,00,80.0,61.0,2,3.9,bdac47281,LRW5093,0,0,NULL,NULL,NULL
46,927,2,2019-02-01 00:00:25,2019-02-01,01,02,2019,00:00:25,00,00,80.0,58.0,4,11.0,bdac473a2,,0,0,NULL,NULL,NULL
47,928,3,2019-02-01 00:00:33,2019-02-01,01,02,2019,00:00:33,00,00,80.0,47.0,2,4.4,bdac478e3,KRA9123,0,0,NULL,NULL,NULL
48,926,1,2019-02-01 00:00:33,2019-02-01,01,02,2019,00:00:33,00,00,80.0,0.0,0,0.0,bdac478e1,LMN2740,0,0,NULL,NULL,NULL
49,927,2,2019-02-01 00:00:38,2019-02-01,01,02,2019,00:00:38,00,00,80.0,63.0,2,3.2,bdac47c12,,0,0,NULL,NULL,NULL
50,927,2,2019-02-01 00:00:42,2019-02-01,01,02,2019,00:00:42,00,00,80.0,59.0,2,4.6,bdac47ed2,,0,0,NULL,NULL,NULL
51,927,2,2019-02-01 00:00:48,2019-02-01,01,02,2019,00:00:48,00,00,80.0,48.0,2,4.7,bdac48292,NPG7186,0,0,NULL,NULL,NULL
