CODCET;DATAHORA;PLACA;VELOCIDADE;CGT;LATITUDE;LONGITUDE
0400141110;2019-03-01 10:53:35;CVZ6669;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:36;LRX5110;39;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:38;LTB9075;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:39;;45;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:41;;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:48;;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:51;FFN5212;45;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:55;LMM8501;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:55;KQP6030;34;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:56;;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:57;KEG1368;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:59;;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:59;;59;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:00;;40;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:02;KVU9328;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:05;;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:07;KZI8272;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:07;;40;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:08;KZI8272;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:18;;62;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:23;;53;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:26;;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:28;KNV7474;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:30;;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:37;;40;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:37;;40;040;-22,90393;-43,27340
