DATAHORA;VELOCIDADE;CODCET;PLACA;CGT;LATITUDE;LONGITUDE
2019-01-01 00:18:40;49;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:18:56;45;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:18:58;50;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:19:20;0;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:20:04;20;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:20:15;34;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:20:17;41;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:20:18;43;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:20:32;58;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:20:33;40;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:20:35;53;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:20:37;53;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:21:01;39;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:22:08;40;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:22:39;48;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:22:40;50;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:22:41;23;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:22:52;42;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:24:19;18;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:24:20;15;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:24:32;24;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:24:34;24;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:24:35;45;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:24:46;43;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:26:18;13;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:26:29;4;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:26:35;53;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:26:38;56;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:26:39;51;0480091110;BRI712;048;-22,96635;-43,21941
2019-01-01 00:26:43;50;0480091110;BRI712;048;-22,96635;-43,21941
