PLACA;TIPO;CODCET;CGT;DATAHORA;VELOCIDADE;LATITUDE;LONGITUDE
;1;0420181113;042;2019-06-01 06:20:01;57;-22.973304 ;-43.39867
;1;0420181123;042;2019-06-01 03:18:01;40;-22.973215;-43.397949
;1;0420041113;042;2019-06-01 03:25:05;53;-23.000465;-43.339516
;1;0420151123;042;2019-06-01 03:17:01;61;-22.997393 ;-43.42608
;1;0420061114;042;2019-06-01 03:32:04;14;-23.000409;-43.334161
;1;0420081212;042;2019-06-01 03:20:00;48;-23.002958;-43.324151
;1;0420111113;042;2019-06-01 05:13:00;59;-22.963859;-43.394382
;1;0420061112;042;2019-06-01 06:20:02;32;-23.000409;-43.334161
;1;0420071124;042;2019-06-01 03:40:04;63;-23.001615;-43.328645
;1;0420061112;042;2019-06-01 03:45:02;07;-23.000409;-43.334161
LOJ2181;3;0420081213;042;2019-06-01 06:19:04;19;-23.002958;-43.324151
;1;0420061212;042;2019-06-01 03:14:04;55;-23.000304;-43.334543
;1;0420141113;042;2019-06-01 03:36:04;53;-22.981353;-43.409694
;1;0420121113;042;2019-06-01 03:19:00;55;-22.967687;-43.397829
;1;0420111122;042;2019-06-01 01:14:00;58;-22.963742;-43.394364
;1;0420111123;042;2019-06-01 03:14:05;53;-22.963742;-43.394364
