CODCET;DATAHORA;PLACA;VELOCIDADE;GCT;LATITUDE;LONGITUDE
0410191111;20190101 00:00:40;       ;48;041;-22.93380;-43.18294
0410291112;20190101 00:00:40;KWA6203;46;041;-22.88229;-43.52213
0410191112;20190101 00:00:41;LSP6130;48;041;-22.93380;-43.18294
0410281121;20190101 00:00:41;       ;44;041;-22.90235;-43.53972
0410151111;20190101 00:00:41;KZN4202;46;041;-22.94040;-43.36801
0410552122;20190101 00:00:42;ALK0830;30;041;-23.00726;-43.43819
0410531112;20190101 00:00:42;LSF5414;35;041;-22.93178;-43.67212
0410481111;20190101 00:00:43;KXZ8237;34;041;-22.94552;-43.57672
0410241111;20190101 00:00:43;KRI6830;42;041;-22.93149;-43.20888
0410101111;20190101 00:00:44;KXO8345;47;041;-22.94346;-43.37263
0410041111;20190101 00:00:45;LQQ6729;40;041;-22.99365;-43.30290
0410361121;20190101 00:00:45;PWK5435;51;041;-23.01997;-43.43618
0410431112;20190101 00:00:46;       ;64;041;-22.87778;-43.32760
0410311111;20190101 00:00:46;       ;57;041;-22.88907;-43.56765
